id,brand,model,year,price
1,Volkswagen,ID.4,2016,7556
2,Honda,Fit,2012,5000
3,Peugeot,2008,2018,9428
4,Volvo,S40,2015,10900
5,Infiniti,G35,2014,8177
6,Kia,Seltos,2024,15690
7,Acura,Integra,2022,33856
8,Toyota,Hilux,2010,5000
9,Mercedes-Benz,CLA,2010,5000
10,Mazda,CX-50,2011,5000
11,Ford,Fiesta,2019,12106
12,Nissan,Rogue,2023,20469
13,Dodge,Ram 1500,2021,19829
14,Fiat,Mobi,2024,13556
15,Land Rover,LR2,2016,20254
16,Nissan,Maxima,2014,5000
17,Volvo,V40,2019,24115
18,Mitsubishi,Eclipse Cross,2024,17917
19,Land Rover,Defender,2024,59616
20,Nissan,Versa,2013,5000
21,Mazda,CX-5,2019,12031
22,Jeep,Wagoneer,2024,33617
23,Peugeot,208,2017,6856
24,Lexus,LX,2011,5000
25,Honda,Insight,2021,18504
26,Lexus,UX,2014,8436
27,Subaru,BRZ,2022,21536
28,Honda,Passport,2015,6860
29,Mazda,MX-5 Miata,2011,5000
30,Mitsubishi,3000GT,2010,5000
31,Hyundai,Venue,2019,10206
32,Citroën,C4,2013,5000
33,Mercedes-Benz,GLA,2011,5000
34,Volkswagen,Polo,2015,6671
35,Chevrolet,Colorado,2023,19436
36,Acura,Legend,2017,15192
37,Volvo,XC90,2024,42806
38,Land Rover,Evoque,2022,46448
39,Dodge,Journey,2014,5000
40,Mazda,CX-50,2019,14004
41,Ford,Edge,2016,7797
42,Volkswagen,ID.4,2011,5000
43,Hyundai,Palisade,2016,5854
44,Infiniti,G37,2012,5000
45,Subaru,Forester,2018,12858
46,Toyota,Tacoma,2014,5076
47,Dodge,Ram 1500,2011,5000
48,BMW,530i,2016,18193
49,Toyota,Corolla,2013,5000
50,Mazda,CX-30,2020,12755
51,Dodge,Dart,2022,24634
52,Hyundai,Accent,2015,6082
53,Acura,RLX,2015,9341
54,Ford,Fusion,2019,14687
55,Ford,Escape,2012,5000
56,Land Rover,Defender,2016,22428
57,Citroën,DS4,2020,11227
58,Volkswagen,Tiguan,2017,9166
59,Mitsubishi,Montero,2014,5000
60,Renault,Duster,2013,5000
61,Volvo,S90,2013,5126
62,Peugeot,Partner,2021,11462
63,Dodge,Journey,2010,5000
64,Mazda,CX-5,2015,5890
65,Ford,Explorer,2020,13637
66,Peugeot,508,2013,5000
67,Nissan,Maxima,2015,6351
68,Audi,A3,2018,25608
69,Fiat,Ducato,2022,14041
70,Honda,Odyssey,2022,20022
71,Jeep,Patriot,2016,12126
72,Nissan,Sentra,2016,8155
73,Nissan,Frontier,2016,8085
74,Kia,Telluride,2023,18779
75,Nissan,Altima,2023,18683
76,Volkswagen,ID.4,2014,5000
77,Lexus,UX,2017,18351
78,Citroën,C-Elysee,2023,13039
79,Mercedes-Benz,S-Class,2022,47287
80,Chevrolet,Cruze,2011,5000
81,Peugeot,508,2023,16745
82,Toyota,Sienna,2021,17416
83,Renault,Captur,2011,5000
84,Kia,Sorento,2019,9693
85,Land Rover,Evoque,2015,17837
86,Infiniti,QX60,2021,26259
87,Chevrolet,Cruze,2019,13610
88,Ford,Escape,2017,9003
89,Chevrolet,Cruze,2010,5000
90,Subaru,Impreza,2020,19317
91,Toyota,Prius,2020,14515
92,Dodge,Magnum,2024,25250
93,Volvo,XC90,2014,7186
94,Lexus,RX,2010,5000
95,Fiat,Argo,2022,11021
96,BMW,X3,2024,48614
97,Ford,F-150,2016,9475
98,Chevrolet,Blazer,2011,5000
99,Honda,Odyssey,2020,14843
100,Honda,Fit,2021,15550
101,Renault,Oroch,2018,8567
102,Mitsubishi,L200,2015,5046
103,Citroën,C5 Aircross,2012,5000
104,Volvo,S60,2011,5000
105,Jeep,Gladiator,2014,5921
106,Dodge,Magnum,2015,7467
107,Honda,Odyssey,2010,5000
108,Toyota,Avalon,2021,17029
109,Toyota,Avalon,2016,9144
110,Toyota,Camry,2022,20839
111,Ford,Mustang,2024,20211
112,Hyundai,Tucson,2012,5000
113,Fiat,Ducato,2023,13723
114,Volvo,V90,2016,15324
115,Jeep,Compass,2010,5000
116,Land Rover,Velar,2024,59702
117,Land Rover,Range Rover,2017,28900
118,Ford,Expedition,2014,5085
119,Audi,A6,2011,5000
120,Hyundai,Sonata,2017,8898
121,Kia,Telluride,2020,11911
122,Land Rover,Evoque,2023,62322
123,BMW,X1,2021,37886
124,Volkswagen,Beetle,2023,22052
125,Ford,Expedition,2012,5000
126,Lexus,RC,2018,24417
127,Renault,Duster,2012,5000
128,Mazda,CX-5,2021,19178
129,Hyundai,Venue,2017,7178
130,Ford,F-150,2021,17883
131,Mazda,Mazda3,2011,5000
132,Fiat,Uno,2012,5000
133,Volvo,V40,2013,5000
134,Peugeot,Expert,2013,5000
135,Chevrolet,Malibu,2021,18962
136,Infiniti,Q60,2024,35046
137,Kia,Seltos,2011,5000
138,Honda,Ridgeline,2010,5000
139,Citroën,SpaceTourer,2016,5569
140,Volvo,V40,2021,31776
141,Infiniti,Q60,2022,32067
142,Land Rover,LR2,2013,7631
143,Renault,Kwid,2017,8011
144,Subaru,Impreza,2011,5000
145,Mitsubishi,Montero,2012,5000
146,Volkswagen,ID.4,2012,5000
147,Lexus,GS,2017,18684
148,Land Rover,Discovery,2022,57760
149,Audi,Q5,2015,12796
150,Kia,Optima,2021,12816
151,Ford,Focus,2017,9092
152,Audi,Q7,2016,18905
153,Toyota,Hilux,2012,5000
154,Nissan,Rogue,2017,8944
155,Volkswagen,Golf,2021,16212
156,Subaru,Forester,2014,5211
157,Hyundai,Veloster,2014,5000
158,Hyundai,Ioniq,2013,5000
159,BMW,X3,2020,27203
160,Land Rover,LR4,2011,5000
161,Honda,Pilot,2011,5000
162,Chevrolet,Traverse,2020,15421
163,Chevrolet,Traverse,2013,5000
164,BMW,740i,2012,5000
165,Renault,Megane,2024,15418
166,Audi,A3,2021,34555
167,Volkswagen,Taos,2014,5000
168,Infiniti,QX60,2021,29325
169,Acura,Legend,2012,5000
170,Volvo,XC60,2013,5000
171,Renault,Duster,2014,5000
172,Nissan,Kicks,2023,20086
173,Dodge,Viper,2019,18696
174,Jeep,Commander,2023,25137
175,Ford,Focus,2021,14926
176,Volkswagen,Taos,2010,5000
177,Honda,Insight,2014,5418
178,Chevrolet,Tahoe,2018,12059
179,Toyota,Avalon,2012,5000
180,BMW,X1,2017,21894
181,Honda,CR-V,2016,7610
182,Jeep,Gladiator,2018,16408
183,Audi,Q3,2023,37334
184,Dodge,Journey,2010,5000
185,Citroën,SpaceTourer,2021,13713
186,Hyundai,Sonata,2015,5000
187,Hyundai,Santa Fe,2017,7961
188,Hyundai,Santa Fe,2011,5000
189,Infiniti,Q50,2014,7905
190,Mazda,CX-3,2020,14581
191,Honda,Insight,2020,14343
192,Lexus,LX,2016,14885
193,Peugeot,508,2022,13095
194,BMW,X5,2016,18611
195,Hyundai,Kona,2015,5732
196,Honda,Passport,2024,20889
197,Volvo,V90,2017,17102
198,Mercedes-Benz,C-Class,2017,21716
199,Mazda,CX-9,2019,14818
200,Infiniti,Q70,2024,40302
201,Honda,Passport,2020,15892
202,Infiniti,QX50,2024,44698
203,Chevrolet,Camaro,2015,5268
204,Hyundai,Elantra,2018,8781
205,Nissan,Pathfinder,2022,16206
